,Testo,Codice Lingua
0,Statua in marmo di un imperatore romano del II secolo,it
1,Anfora greca con decorazioni a figure nere,it
2,Dipinto rinascimentale raffigurante la Madonna con il bambino,it
3,Elmo corinzio in bronzo del VI secolo a.C.,it
4,Manoscritto medievale con miniature dorate,it
5,Scultura lignea gotica di un santo,it
6,Spada vichinga con impugnatura decorata,it
7,Maschera funeraria egizia in oro,it
8,Tavoletta sumera con incisioni cuneiformi,it
9,Vaso cinese della dinastia Ming con smalti blu e bianchi,it
10,Affresco pompeiano con scena mitologica,it
11,Arpa barocca in legno intagliato e dorato,it
12,Moneta d'argento dell'Impero bizantino,it
13,Armatura completa da cavaliere del XV secolo,it
14,Fusaiola neolitica decorata,it
15,Mosaico romano con motivi geometrici,it
16,Scultura in bronzo raffigurante Eracle,it
17,Brocca etrusca con iscrizioni in alfabeto etrusco,it
18,Pettine in osso dell'epoca vichinga,it
19,Elmo samurai con cresta ornamentale,it
20,Anello sigillo dell'antico Egitto,it
21,Tappeto persiano del XVII secolo con disegni floreali,it
22,Pergamena con notazione musicale medievale,it
23,Daga rituale in ossidiana delle civiltà precolombiane,it
24,Miniatura persiana con scene di caccia,it
25,Idolo votivo in terracotta della cultura nuragica,it
26,Statuetta di divinità induista in bronzo,it
27,Cassa di orologio barocco in legno intarsiato,it
28,Collana fenicia in ambra e vetro colorato,it
29,Scudo decorato degli indigeni amazzonici,it
30,Bacchetta da rabdomante dell'epoca romana,it
31,Corno da caccia medievale intagliato,it
32,Diorama egizio raffigurante la costruzione di una piramide,it
33,Ritratto in avorio dell'epoca napoleonica,it
34,Elmo da gladiatore romano,it
35,Pugnale con lama in cristallo di rocca precolombiano,it
36,Vetrata gotica con scene bibliche,it
37,Bottiglia di profumo in vetro soffiato veneziano,it
38,Chiave di bronzo di una porta medievale,it
39,Cilindro con iscrizioni geroglifiche egizie,it
40,Coppa d'oro della civiltà micenea,it
41,Reliquiario gotico con smalti e pietre preziose,it
42,Ascia in pietra levigata dell'età della pietra,it
43,Fibula in oro e smalto di epoca longobarda,it
44,Vaso in porcellana con scene della vita di corte cinese,it
45,Bracciale in argento dell'epoca vichinga,it
46,Carro da guerra in miniatura della civiltà assira,it
47,Piatto ceramico ispano-moresco del XIV secolo,it
48,Maschera rituale africana in legno intagliato,it
49,Dipinto barocco raffigurante una scena di caccia,it
50,Spilla in oro con smalto cloisonné del periodo bizantino,it
51,Statuetta votiva in bronzo della civiltà celtica,it
52,Anfora romana con decorazioni in rilievo,it
53,Elmo medievale con visiera mobile,it
54,Idolo in giada della cultura olmeca,it
55,Pergamena con scrittura runica vichinga,it
56,Ciondolo egizio con simbolo dell'occhio di Horus,it
57,Scultura maya in pietra raffigurante un sacerdote,it
58,Vaso decorato con scene mitologiche della civiltà cretese,it
59,Pettorale da armatura rinascimentale in acciaio brunito,it
